,firstseen,lastseen,callsign,icao24,estdepartureairport,estarrivalairport,day,attempts,loaded
0,1672511424,1672532270,JBU2223,ad9e73,KJFK,KLAX,1672531200,1,True
1,1672521217,1672542615,AAL306,a00d5b,KJFK,KLAX,1672531200,1,True
2,1672526446,1672547757,DAL2801,a12861,KJFK,KLAX,1672531200,1,True
3,1672526803,1672548126,JBU623,adb723,KJFK,KLAX,1672531200,1,True
4,1672528901,1672549675,DAL1058,a1775f,KJFK,KLAX,1672531200,1,True
5,1672534065,1672554759,DAL1028,a13af4,KJFK,KLAX,1672531200,1,True
6,1672534529,1672556339,AAL300,a03fff,KJFK,KLAX,1672531200,1,True
7,1672538016,1672559935,AAL185,a04641,KJFK,KLAX,1672531200,1,True
8,1672538630,1672560245,JBU2723,adc9b6,KJFK,KLAX,1672531200,1,True
9,1672538921,1672560389,JBU1623,ad7e6f,KJFK,KLAX,1672531200,1,True
10,1672543000,1672564348,JBU823,acf54f,KJFK,KLAX,1672531200,1,True
11,1672576999,1672598549,AAL1,a02c40,KJFK,KLAX,1672531200,1,True
12,1672582183,1672603405,JBU2123,ab4f5d,KJFK,KLAX,1672531200,1,True
13,1672582570,1672603499,DAL1045,a12861,KJFK,KLAX,1672531200,1,True
14,1672583567,1672604845,AAL255,a01c37,KJFK,KLAX,1672531200,1,True
15,1672589497,1672610291,AAL3,a0428a,KJFK,KLAX,1672531200,1,True
16,1672592565,1672613585,DAL351,a14c29,KJFK,KLAX,1672531200,1,True
17,1672594812,1672615933,DAL8783,a11380,KJFK,KLAX,1672531200,1,True
18,1672747970,1672769034,JBU723,adcd6d,KJFK,KLAX,1672704000,1,True
19,1672748505,1672768423,DAL1085,a13386,KJFK,KLAX,1672704000,1,True
20,1672751201,1672771729,JBU2123,adc9b6,KJFK,KLAX,1672704000,1,True
21,1672752570,1672774093,AAL1,a01880,KJFK,KLAX,1672704000,1,True
22,1672755667,1672775925,JBU819,ad646e,KJFK,KLAX,1672704000,1,True
23,1672756188,1672776467,DAL1045,a12861,KJFK,KLAX,1672704000,1,True
24,1672758765,1672779026,JBU523,ad60b7,KJFK,KLAX,1672704000,1,True
25,1672761244,1672781443,AAL255,a033ae,KJFK,KLAX,1672704000,1,True
26,1672762331,1672783658,AAL3,a00d5b,KJFK,KLAX,1672704000,1,True
27,1672766168,1672786009,DAL8783,a14872,KJFK,KLAX,1672704000,1,True
28,1672766830,1672787183,JBU2223,adafb5,KJFK,KLAX,1672704000,1,True
29,1672772805,1672793277,DAL439,a11d3c,KJFK,KLAX,1672790400,1,True
30,1672780476,1672801821,AAL306,a04641,KJFK,KLAX,1672790400,1,True
31,1672780641,1672801309,DAL2801,a12c18,KJFK,KLAX,1672790400,1,True
32,1672781766,1672801919,JBU823,add376,KJFK,KLAX,1672790400,1,True
33,1672785063,1672805188,DAL1058,a12fda,KJFK,KLAX,1672790400,1,True
34,1672790755,1672811951,JBU623,a98f6a,KJFK,KLAX,1672790400,1,True
35,1672792313,1672813194,JBU2715,adbaca,KJFK,KLAX,1672790400,1,True
36,1672793381,1672814238,AAL300,a03fff,KJFK,KLAX,1672790400,1,True
37,1672795331,1672815493,JBU1723,ad9e73,KJFK,KLAX,1672790400,1,True
38,1672795603,1672815743,JBU223,adb723,KJFK,KLAX,1672790400,1,True
39,1672796920,1672818132,AAL185,a009a4,KJFK,KLAX,1672790400,1,True
40,1672821634,1672842029,JBU1823,acf906,KJFK,KLAX,1672790400,1,True
41,1672834652,1672854701,JBU723,ad1cde,KJFK,KLAX,1672790400,1,True
42,1672835820,1672855529,DAL1085,a12861,KJFK,KLAX,1672790400,1,True
43,1672836480,1672856669,AAL1,a04641,KJFK,KLAX,1672790400,1,True
44,1672837817,1672857569,JBU2123,ad646e,KJFK,KLAX,1672790400,1,True
45,1672841111,1672860817,JBU819,ad0074,KJFK,KLAX,1672790400,1,True
46,1672841746,1672861149,DAL1045,a12fda,KJFK,KLAX,1672790400,1,True
47,1672848301,1672867975,DAL351,a13af4,KJFK,KLAX,1672790400,1,True
