,time,lat,lon,baroaltitude,geoaltitude,heading,velocity
0,1674428203.0,40.61850337658898,-73.78892378373581,236.22,190.5,213.1579238846722,92.17596219070428
1,1674428222.2192192,40.60542764750426,-73.80028087168466,529.1209007263184,475.7809007263183,213.9646535157594,90.80258651381628
2,1674428241.4384384,40.592229894711636,-73.81226429063827,734.8609007263184,681.5209007263184,214.45502931054565,99.1208292293444
3,1674428260.6576576,40.57577722948597,-73.81857607230566,970.1427021789551,909.1827021789551,172.97447634854768,100.5815110157967
4,1674428279.8768768,40.56041779392398,-73.80604347027838,1164.9218014526366,1096.3418014526367,128.39455278456472,118.2471531393074
5,1674428299.096096,40.553549849986645,-73.77908707611178,1426.4045036315918,1350.2045036315917,95.00976705128959,133.8023537579053
6,1674428318.3153152,40.55273143927393,-73.7480065849271,1721.7081065368652,1643.1054043579102,91.0675745477655,138.05716842010034
7,1674428337.5345345,40.55239919888771,-73.71532674511067,1878.5931525421142,1802.3931525421142,90.87888574763562,152.05407330772266
8,1674428356.7537537,40.55624442338013,-73.68116126395762,2197.469938659668,2121.269938659668,67.85977572808947,158.90244042356392
9,1674428375.9729729,40.573292346365385,-73.65250064946436,2457.141079902649,2380.941079902649,38.18497922087859,166.19159116216804
10,1674428395.192192,40.59788059530054,-73.63282087306622,2731.377175140381,2655.177175140381,29.573583133490995,169.8373482135773
11,1674428414.4114115,40.623885053120546,-73.6141031437356,3022.2224337172506,2946.022433717251,28.257254513653557,172.99727844230748
12,1674428433.6306307,40.650538429187144,-73.59499280765303,3265.437731114387,3189.2377311143878,29.053024585246053,178.7410454776927
13,1674428452.84985,40.67813209261306,-73.57468085867545,3458.2478455022665,3389.579834466714,29.373534895493258,187.65241746356472
14,1674428472.0690691,40.70720174605243,-73.55416618915613,3628.1726138019562,3559.5926138019563,23.653658384465487,195.56538167882692
15,1674428491.2882884,40.74068361586251,-73.54440701686933,3807.849009685516,3746.8890096855166,4.539811784587713,197.80687091576868
16,1674428510.5075076,40.77552846445943,-73.54181170638681,3979.209766101837,3912.9272076272964,2.577922151540289,205.88769949203623
17,1674428529.7267268,40.81179856645289,-73.5398047305961,4179.215315980911,4115.02120197773,1.566885396830627,211.5308659460743
18,1674428548.945946,40.847977097033436,-73.5455569705664,4434.428108353615,4373.056216707229,344.861321279083,206.30581192625004
19,1674428568.1651652,40.88086006237608,-73.56274725656112,4681.197117433549,4620.237117433548,334.0872264178037,203.85278620517423
20,1674428587.3843844,40.9122165069112,-73.58395537790156,4968.8235136199,4910.209009079934,329.28130231974575,202.59163256480332
21,1674428606.6036036,40.94039171527139,-73.61030345544795,5100.079729721547,5046.7397297215475,320.7631631180589,202.44369381489574
22,1674428625.8228228,40.96587799252228,-73.64227407391976,5135.88,5082.54,312.3283712343348,197.37694388678779
23,1674428645.042042,40.98756065022463,-73.67700934573077,5151.226786723137,5097.8867867231365,309.1768968370514,197.09758868783135
24,1674428664.2612612,41.00893258106012,-73.71132235010356,5330.36162106514,5270.397026331425,309.4995885297981,197.3427568537054
25,1674428683.4804804,41.03094124770507,-73.74662903640109,5562.302521791458,5508.962521791458,309.3517526262647,199.5857087244329
26,1674428702.6996996,41.05157632863342,-73.77982230965492,5848.727566888332,5801.863422517777,309.34830828285453,198.91073712448133
27,1674428721.9189188,41.07447625512515,-73.81661061271932,6102.384323244095,6056.664323244095,309.36099686886,199.612189360958
28,1674428741.138138,41.09648940574192,-73.85223492802238,6326.7052239704135,6288.07891797781,309.28049878788875,200.75767525033854
29,1674428760.3573573,41.11848147269847,-73.88776111298648,6548.303062348366,6502.583062348365,309.2279746706948,202.553791582477
30,1674428779.5765765,41.140521899953455,-73.92345421573555,6682.740000000001,6644.64,309.15118633340467,204.9863562321403
31,1674428798.7957957,41.16340499728176,-73.9604789113364,6697.98,6659.88,309.2690747911348,204.0015341403981
32,1674428818.0150151,41.18564383799019,-73.99641388486008,6705.6,6667.5,309.2279746706948,202.553791582477
33,1674428837.2342343,41.20772314492908,-74.03217398788748,6821.684865617753,6775.964865617752,309.34186713897316,202.06238711418635
34,1674428856.4534535,41.22964917441277,-74.06758076450205,7101.1306319618225,7051.955315980911,309.32056847948553,200.16192193131465
35,1674428875.6726727,41.251394048536895,-74.10290408217406,7320.325766344071,7268.232883172035,309.0876699126724,200.71618009757975
36,1674428894.891892,41.27331749173027,-74.13885168134584,7482.016216707229,7436.296216707229,308.9318874729593,203.0281777138814
37,1674428914.1111112,41.2956722856332,-74.17525515581303,7658.94666707039,7612.944444713593,309.0835232198434,204.81391477681981
38,1674428933.3303304,41.31813318429907,-74.21203669526386,7820.637117433549,7767.297117433548,309.07504727743896,206.75298244355196
39,1674428952.5495496,41.34047839823139,-74.24854156724905,7983.723423728943,7930.383423728943,309.06379137113834,208.16627441886035
